qid,unique_identifier,label_en,description_en,instance_of_uuid,instance_of,full_work_available_uuid,full_work_available,full_work_available_ref1_hash,full_work_available_ref1_retrieved_nodeId,full_work_available_ref1_retrieved_val,full_work_available_ref1_retrieved_prec,edition_version_uuid,edition_version,language_uuid,language,number_pages_uuid,number_pages_nodeId,number_pages_val,number_pages_unit,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_stated_in,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_stated_in,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,publication_date_uuid,publication_date_nodeId,publication_date_val,publication_date_prec,publication_date_ref1_hash,publication_date_ref1_referenceUrl,publication_date_ref1_stated_in,publication_date_ref1_retrieved_nodeId,publication_date_ref1_retrieved_val,publication_date_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_stated_in,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,published_in_uuid,published_in,published_in_ref1_hash,published_in_ref1_referenceUrl,published_in_ref1_stated_in,published_in_ref1_retrieved_nodeId,published_in_ref1_retrieved_val,published_in_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_stated_in,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_stated_in,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_stated_in,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_stated_in,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_stated_in,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_stated_in,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,place_of_publication_uuid,place_of_publication,place_of_publication_ref1_hash,place_of_publication_ref1_referenceUrl,place_of_publication_ref1_stated_in,place_of_publication_ref1_retrieved_nodeId,place_of_publication_ref1_retrieved_val,place_of_publication_ref1_retrieved_prec
Q115564466,BSIFH6XE,Faith on Earth: An Inquiry into the Structure of Human Faith,journal article,A7983D32-B965-47BA-BB8D-B48EA762E43C,Q18918145,,,,,,,,,FDB9F9D2-26AD-4F7A-96F2-34081433D63F,Q1860,985C4E5C-7384-4EC1-9E09-319C982F04D0,a0cfcedc-446e-47c0-b4a8-70d96af19fbf,4,Q1069725,,,,,,,,,,,,,,,,,9DF23356-AEA3-4331-B2BB-1E795B8CE4ED,0b6bd00a-6b38-48ac-8159-ccbb560e925c,1990-00-00T00:00:00Z,9,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,66e97490-92c1-4847-9199-f694ef5f095f,2022-12-02T00:00:00Z,11,151D52FC-5788-4F12-81A9-3E535D1B304B,Faith on Earth: An Inquiry into the Structure of Human Faith,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,449caa7f-166e-4bff-bb47-534c5d9623e9,2022-12-02T00:00:00Z,11,105CBE46-03E8-4474-A604-97CD11180485,Q27715950,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,b2752fc4-de2d-4621-88c2-117aeba8f477,2022-12-02T00:00:00Z,11,702235C8-741F-4D80-BC1E-A3A37EE995D5,2,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,c388cabd-a362-4a56-b4b9-df0ecc5e4747,2022-12-02T00:00:00Z,11,660244BF-5006-4B30-9B7E-64DFA0309273,164-167,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,15e4ef7b-262b-4244-816f-6ad8df7c8a08,2022-12-02T00:00:00Z,11,DCFDBAD3-1E94-4D02-AC5D-0D2DA0E3DD3F,2,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,cc78c137-e4cb-4e96-95f7-880279b57f44,2022-12-02T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115564467,I76F4JXE,Dialogical Interrogations,academic book chapter,60662965-4F3E-4A81-ABF5-A7D2C007E449,Q21481766,,,,,,,,,E1EF55FA-54D0-44C1-A1D0-518469E352A1,Q1860,6B95A2CB-2B71-417D-B136-71BEC05E2B09,fac2fbfc-57c8-4d8b-9eee-e4ff6a56407e,11,Q1069725,,,,,,,,,,,,,,,,,C8DA666C-B3AB-41FB-8636-E220DEDD8219,0518fceb-0665-4adc-8877-6b2255126adb,1998-00-00T00:00:00Z,9,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,f23638c1-bf6d-4922-a83d-b20d8e16a4e4,2022-12-02T00:00:00Z,11,C1DC3F1D-EB13-4BC2-98CB-3A8EA7A54262,Dialogical Interrogations,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,8650d3d5-0e69-44d4-ba40-e787bcc952d0,2022-12-02T00:00:00Z,11,40831054-E016-4765-B35A-307B3EE0BE39,Q94855544,,,,,,,,,,,,,,,23719EF9-16D2-4303-AE9F-AC60401F5F49,36-46,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,06c71b08-46b8-4b47-9720-59a915b77bb2,2022-12-02T00:00:00Z,11,,,,,,,,,FEE3B1E5-C9CB-4F2F-9D28-D1EDDF6CEFBA,1-57075-159-5,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,4ba0ab00-5417-4d87-9355-c995cdbe5db7,2022-12-02T00:00:00Z,11,,,,,,,,,5529F819-3B97-45E0-96AA-D322E48F2807,Q7100023,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,e8ab0de3-8b90-48bd-82e4-7b77b76ec40e,2022-12-02T00:00:00Z,11,5CE6B96C-2552-4D25-B16A-F538B25F1CEF,Q115485100,b040a097b08bf1314c9e2647912dbb7f119015cf,,Q114403967,6a45824d-d98d-4d37-9164-dd9263102903,2022-12-02T00:00:00Z,11
Q115633054,NWIX65H7,Spirituality and capitalism,journal article,DA8EBADC-5251-4115-B219-01B8A6A31811,Q18918145,,,,,,,,,5B9C1257-4CFA-40C6-A84B-637AFF490D8B,Q1860,CE930F0B-F734-4033-B424-D4B896A84DD4,9b564f79-b67b-4703-aad5-bb952706b7ed,7,Q1069725,,,,,,,,,,,,,,,,,8738BF44-A4C6-4686-88C8-FD07240B357B,6049dda7-a697-4937-a60c-798c40eb76e5,2007-00-00T00:00:00Z,9,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,7f22327d-b887-47ca-a2c9-cf941ab7418c,2022-12-08T00:00:00Z,11,AB66F756-72E0-4C13-ADC8-5019B127E572,Spirituality and capitalism,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,c7fff8e2-3d9b-43db-86ca-f3dd5dc1b101,2022-12-08T00:00:00Z,11,FA6FD1DD-1270-4B17-A469-6FD62ECB7BE1,Q96747411,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,9dd79a03-b0b8-45df-921e-2f6e360e60d8,2022-12-08T00:00:00Z,11,3CF79877-94CA-4EFE-A145-31DBFDB0C0C2,60,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,29d56987-60bb-4b91-82f4-072dd6005f95,2022-12-08T00:00:00Z,11,3B58F7ED-433C-4AE1-8CAA-5C20C23DEF67,146-152,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,bf5b3937-ce91-4df2-9147-82a8104efcdd,2022-12-08T00:00:00Z,11,8C9CB758-418D-4CC3-A241-55ADA4619485,165,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,a7f8c22c-cc80-40c5-9d13-a1d366c0c078,2022-12-08T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115633055,CRCIRQC2,Telling God's stories with power,journal article,1CE35DDB-61D7-4BC1-8F36-78F18E90E04F,Q18918145,,,,,,,,,8AFCFD55-6E29-4D86-B4D2-786A2DE75899,Q1860,2962A2B2-90FA-4F21-AAF9-4C2FFE92CB46,a02a5d92-2e52-4fa6-a883-99b4197db5da,2,Q1069725,,,,,,,,,,,,,,,,,E354E703-BBE1-4911-93EB-83FD11ADC084,10d3185a-70ea-482e-a1dc-e438bae888e1,2011-00-00T00:00:00Z,9,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,ec932420-1731-4b16-8bf5-3cee594b111e,2022-12-08T00:00:00Z,11,5CAEEC52-A1D8-41C0-923E-00B9BC57A356,Telling God's stories with power,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,f1db1b3b-3208-41a3-a3c7-f713d84422b5,2022-12-08T00:00:00Z,11,6183B8A6-867C-4C74-B36B-E3C0E10AE07C,Q96747975,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,bf5d912c-0d2c-4093-b991-491a7c934bbe,2022-12-08T00:00:00Z,11,CA6922C2-CABE-4232-B4D7-987B89AC46D2,47,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,a3d646c8-7b0d-44ab-b54e-7d10442933b4,2022-12-08T00:00:00Z,11,34093225-ADD9-4C4F-8063-008B7C17B8BD,506-507,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,7341cc0d-9e13-4532-bea2-a9ec0c2cb501,2022-12-08T00:00:00Z,11,84F7502B-E495-4FC7-A331-5365024020C0,4,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,d70687e1-7582-4820-a0f8-afdcf8431ba5,2022-12-08T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115633056,CKA53A8Z,Frustrated Fellowship: The Black Baptist Quest for Social Power,journal article,52E56B72-D416-4BD1-941E-3038CB298AB6,Q18918145,,,,,,,,,CE2AE27B-E8A6-484D-A4D4-8A667B5D4D06,Q1860,D36D5640-33B5-4C0A-A28E-A11CCFCFBE33,ccbc602d-cb9d-4f92-9c68-d83f612495bb,3,Q1069725,,,,,,,,,,,,,,,,,1F06D3F8-828F-45B0-BF8C-3F1E314627E1,4c69e086-1fbd-4621-a8a0-97ac8a7439c3,1987-00-00T00:00:00Z,9,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,f7fbd8a5-759e-45de-9272-b2c7b1a18887,2022-12-08T00:00:00Z,11,1D495987-6175-41CB-8DC9-E1008943D781,Frustrated Fellowship: The Black Baptist Quest for Social Power,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,b35b6066-bb2c-4aad-b225-60d1d75d5925,2022-12-08T00:00:00Z,11,FE34B35E-CEE6-4900-85BB-6D5ED62743D1,Q5024509,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,3953e1aa-0efb-4ff9-804f-97fd635b3847,2022-12-08T00:00:00Z,11,72F8B38A-90D8-4152-8E64-33793B5CBA13,22,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,c09fe51e-0616-45ff-baee-444a32755cd8,2022-12-08T00:00:00Z,11,45494CCB-A317-4D26-8A22-969B2B28B6D4,355-357,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,1a356428-f5e0-47d3-b548-ceb3c8602ca2,2022-12-08T00:00:00Z,11,E5CFBD89-28DB-44A3-AD5B-AFDF9308C045,2,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,ccef5547-e5d7-45be-907e-c2fbfff7467d,2022-12-08T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115633057,SI2TDP6J,Soul theology: the heart of American black culture,journal article,63F9A62C-EBF0-445E-8831-7847FFCCD34D,Q18918145,,,,,,,,,F30F4B7A-6487-4C07-8CC4-4F2D004A8BD4,Q1860,B3AA83F8-4987-46D8-AC20-B6547E1A6948,90b5960f-e5b2-4349-9b68-60ba6e5da76c,3,Q1069725,,,,,,,,,,,,,,,,,7773D378-08BC-4310-A3BD-24331FFBA97C,61841ab8-b240-435d-af99-757d5714a216,1988-00-00T00:00:00Z,9,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,e5d3d6b4-b9cf-4163-a38d-e5fafe8fe682,2022-12-08T00:00:00Z,11,C407C318-02AB-4508-8568-F3F471058AC0,Soul theology: the heart of American black culture,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,d7a580c1-f342-450e-9e27-115cd86f14fe,2022-12-08T00:00:00Z,11,39424D4E-6A49-4458-ADCA-95A0C05D69BE,Q5024509,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,1fae1fd3-4441-46fa-988e-12585508965c,2022-12-08T00:00:00Z,11,B57B1173-6F1E-4B07-A09C-FBDFF54ACBB5,23,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,ab3b8ebe-8b8e-4d17-a263-8f74d24d6e21,2022-12-08T00:00:00Z,11,D48561F0-E17D-4961-A4DE-934373A95E1E,85-87,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,28fedd3b-5469-4e3a-b02a-cb9f2ae6dab9,2022-12-08T00:00:00Z,11,67843D7F-9592-4ACC-9185-834FEDF8AE64,1,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,f7f50afa-fff0-49ef-b2d9-b0b93a77976a,2022-12-08T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115633058,P3UAWPCI,Face to face : becoming a pastor to children,journal article,F12608B8-E9DC-49B0-A6F9-6CCB9E792BD1,Q18918145,,,,,,,,,77B8DB64-3B8B-418E-8F39-3F8FD008E95A,Q1860,BD443709-C322-4B88-A112-5F591BCCF1BF,095e246d-d1f8-4ded-b361-c9bd3ae1858e,2,Q1069725,,,,,,,,,,,,,,,,,FF5B766D-0994-43D8-AE47-79D443B40592,a310b9aa-3923-41a7-a844-9c72c9c34820,1989-00-00T00:00:00Z,9,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,cdc8baca-8964-4eb9-bdf3-3019e955917e,2022-12-08T00:00:00Z,11,DFCA46EB-6ED4-43CD-9157-30CF5AB6010C,Face to face : becoming a pastor to children,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,54951ce9-6a2c-4fe0-bcdc-7d814d4faafc,2022-12-08T00:00:00Z,11,9EB709C3-4143-4A2C-9C75-12D7098FC670,Q96658010,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,dd8f21f8-194d-4719-856b-59fc4f156c4f,2022-12-08T00:00:00Z,11,,,,,,,,,34A9BC5C-DACD-444B-9B14-CB9BE0B9C854,14-15,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,b2721a77-cbb4-443f-9946-434c9c159c67,2022-12-08T00:00:00Z,11,FFE5301A-9D2F-4F78-A64A-73014F03AE1E,12,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,7744a665-d3dc-4e17-95cf-a71bf225f962,2022-12-08T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115633059,7RG9VZ8F,African American Religious Thought and Pragmatism,journal article,4EE6747C-1D2B-401E-89F3-856B6DFD2B27,Q18918145,,,,,,,,,904ACF89-A08A-4ED5-A303-CD485AC5A276,Q1860,46038EA4-E3DD-4FD9-9698-5604C7CD44A9,1ec8f4d4-fd52-4051-841e-0261ff55ea13,91,Q1069725,,,,,,,,,,,,,,,,,69FA175E-63C9-4204-8E5F-17920BA2A107,d7b9e265-ac9a-47bf-963e-ee1a93792578,1998-00-00T00:00:00Z,9,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,b5e9cb02-5348-42e9-a093-f8925a3400a7,2022-12-08T00:00:00Z,11,6C911AA1-08E3-4061-AF05-12C0A401C6B4,African American Religious Thought and Pragmatism,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,6d943d14-8f43-4d86-9323-75f64063cc3b,2022-12-08T00:00:00Z,11,F325ED6E-5878-414D-AFDF-C0BBCE9CEAD0,Q15754942,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,aeebe8c9-ddf1-4c0e-8924-4701c186bd37,2022-12-08T00:00:00Z,11,84DE917E-034D-4089-B804-BDBA3F2250A7,19,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,fbc61e96-6f2b-446b-b888-82c20d69678b,2022-12-08T00:00:00Z,11,D669809D-6FFD-4B34-BA46-5552F4705B3E,133-223,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,b5dd2368-66c4-4e31-8c6a-05d8efbc780c,2022-12-08T00:00:00Z,11,37506104-6A23-45DB-A548-FF0658C64B6E,2,8197fe17d2ee45e8ec5c6f2445690105a6e37021,,Q114403967,a3cc49dd-e137-4c1e-98e8-c8e9aa9acb6f,2022-12-08T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115648806,83QIN4GW,A Reasonable Belief: Why God and Faith Make Sense by William Greenway (review),journal article,75772CB2-8338-4603-8420-186C6F4B40FC,Q18918145,D5FB4C70-20F8-48C4-B57A-5E4008D03442,https://muse.jhu.edu/article/685077,01550fe2b857d75bbfa51a22872501da50896085,375f6865-c349-48f0-bb8e-3348373d24fb,2022-12-09T00:00:00Z,11,,,ED063C05-9736-4D66-9294-AE84F659C913,Q1860,9387AEFF-40C3-4A15-8D3A-14D2CC9CE948,80fc4626-aa6f-420e-91a7-3b2212aa5603,2,Q1069725,9A346809-BADC-4F7E-AD6F-9BE0E82DD188,10.1353/SCE.2017.0042,ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,a4876e27-3f10-4bbc-a307-2af1604cc271,2022-12-09T00:00:00Z,11,,,,,,,,,E2C3821B-6F7A-4906-9E3B-D3F44C499EEE,44ffe28c-61d5-4aa3-a1fd-a8c057fbe9b1,2017-00-00T00:00:00Z,9,ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,d28d23ad-76ac-4101-b272-e2f82aa2d686,2022-12-09T00:00:00Z,11,54EDF456-4DBA-4307-A028-DADAB06FF768,A Reasonable Belief: Why God and Faith Make Sense by William Greenway (review),ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,84be8f28-ff8f-45e7-882f-09ef18d33de2,2022-12-09T00:00:00Z,11,2E691CD2-051D-4DED-B19F-3E366576AA47,Q15767535,ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,af7309ee-da45-4e0d-8e03-eeee30fb6286,2022-12-09T00:00:00Z,11,78DDF3B8-DAB3-459B-8ADF-5F3899DDE426,37,ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,1a2daefe-4e29-4dea-bf44-98b9ac3a3067,2022-12-09T00:00:00Z,11,43D7FA1C-51B5-44D1-B783-845D5D8A16E1,194-195,ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,e1c328ef-29b7-4812-aab4-6fbad9f35122,2022-12-09T00:00:00Z,11,5799B178-FA6D-448E-9217-9C3DAF56F03A,2,ecd4a0af66cf33aeb880971a289fcf5d2f2f2d5b,https://muse.jhu.edu/article/685077,,35a704fc-a526-4991-bcc6-8cb733fe9147,2022-12-09T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115649449,CI4PQ6W8,Changing conversions: reliigous reflection and cultural analysis,journal article,4900A148-EF9B-44FB-B03F-26574FDF249D,Q18918145,,,,,,,,,B9E9F5AA-A027-48D1-AD6C-D221EC938807,Q1860,71D1DC5E-2D1E-4D35-A8FD-572DDD2A7BD7,993c082c-e74a-41c8-8c53-fc9e61c6d399,3,Q1069725,,,,,,,,,,,,,,,,,034AA41D-6D00-427D-914F-FB8CC3BC3667,a1dad85d-3c09-4929-9ca0-6f2fadb80add,1998-00-00T00:00:00Z,9,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,fb95c3ad-0b3c-4ca4-8411-36ae5efb562f,2022-12-09T00:00:00Z,11,14355E37-13C6-4C0F-825C-4C4A8B347948,Changing conversions: reliigous reflection and cultural analysis,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,104d51c1-d5ac-4655-bf2b-37c0c78a5383,2022-12-09T00:00:00Z,11,733D838F-14D3-4C1B-8E49-2E2F4F4BFCE5,Q7743622,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,706deab6-93a1-4377-abe3-47bb633770f4,2022-12-09T00:00:00Z,11,935B4CAB-0480-4424-9261-F85909C75F5A,78,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,adbbb1c0-88a9-4665-a8cb-9f73e6f07446,2022-12-09T00:00:00Z,11,8F7DE39C-34DE-4065-8E4D-F2B7B8476DB6,638-640,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,dd57df1b-089c-47a6-9482-e9b4862a73a7,2022-12-09T00:00:00Z,11,58504BD2-AE30-4D80-8B9B-6571ABCFD311,4,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,b040ad7d-a8c8-4584-adc4-4fbfbe6c2066,2022-12-09T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115649450,DRWMYUQX,Nuts and Bolts of Culture-Sensitive Sermons,journal article,C455FF63-DACF-4C27-8DFC-82057A3925EA,Q18918145,,,,,,,,,E5E062A5-F393-46E5-9B36-3DF9A446C629,Q1860,AB3C468A-D403-440C-851D-D3DFF5453EB5,694c0017-5a99-44eb-beea-c7885c6155f3,9,Q1069725,,,,,,,,,,,,,,,,,C641254A-30EF-43BE-B3AA-DE1BABDF90E4,7b703183-daf9-4ea7-a59b-d6c3d08a59a0,2013-00-00T00:00:00Z,9,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,e48b4649-49e4-4095-b610-e09fb7eaf9bc,2022-12-09T00:00:00Z,11,B7DF96C2-A307-4395-8FD4-3C539C9DB611,Nuts and Bolts of Culture-Sensitive Sermons,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,86814912-54c9-455c-a83d-e0f226464aae,2022-12-09T00:00:00Z,11,19A1B158-C64C-4F0E-AA91-D855F15A3A27,Q15816602,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,c787eb36-bdd1-4faf-af37-5e3170ef3afa,2022-12-09T00:00:00Z,11,CD2DA5D2-4A82-44A1-80D1-D89910A1F627,13,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,6b005756-110c-4553-8478-6804fbb1d378,2022-12-09T00:00:00Z,11,E8273950-CDE1-4C74-AABF-5D39B4C9D3B3,17-25,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,17ca5e6b-13be-441a-a94e-d227676a0162,2022-12-09T00:00:00Z,11,30F781C7-F6BC-44F8-9CCF-79CECE672FD2,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,ae82b29f-9a9e-4aef-9106-9e8cd349ac2c,2022-12-09T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115649451,NCP7MHEJ,TED Talks: The Official Guide to Public Speaking,journal article,4FA11103-EF61-4498-914F-79AF2B3312B5,Q18918145,,,,,,,,,2989498D-3E46-47B1-9C1E-27271858A291,Q1860,A5C6E6C9-E3C9-4179-886D-7BCEF0C6683E,f65dd72f-74d0-4efb-8863-7c13be7a2d7c,2,Q1069725,,,,,,,,,,,,,,,,,0F9FBC30-EFB7-48F4-978B-88EB4DC32B65,995f1235-1433-47c5-90b2-3d6bb57b199f,2018-00-00T00:00:00Z,9,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,fc5dfe97-fc3a-43fb-988f-13d668dbdf51,2022-12-09T00:00:00Z,11,93210C7B-303B-4B6D-A90A-CB4A39CF4684,TED Talks: The Official Guide to Public Speaking,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,1809fda6-0643-47e5-b144-3e28f3793f2e,2022-12-09T00:00:00Z,11,08D35A97-90D8-4879-B225-C08FC2219EE5,Q15816602,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,3d21c314-2fc9-4ee5-8fd5-95e47252298a,2022-12-09T00:00:00Z,11,38B87D75-53A8-4C9D-BB92-8409ACEFBAE6,18,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,a81964b6-bdd7-49a2-a65c-164c684b6a4b,2022-12-09T00:00:00Z,11,368DC305-6292-42F7-A8DA-062271CDBF3B,93-94,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,79b797cc-aeff-4bb9-835d-b65d95db8c01,2022-12-09T00:00:00Z,11,AD789E1B-AAAE-48AE-98CE-B2C54EEFF84F,2,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,15e1e5e3-397a-4cf7-8afe-ec9757f21562,2022-12-09T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115649452,RZW54FIE,Preserving the Blessing of God's Powerful Presence,journal article,DD3B7636-3CD3-4770-81A2-7249FB299688,Q18918145,,,,,,,,,3B76D2D4-ACD1-4D9D-AB6B-C23D067AA7BA,Q1860,E805720A-5DBC-43AF-853B-8273F4F2FDB1,17cf7322-6412-41b1-ae9d-54b21306f27f,14,Q1069725,,,,,,,,,,,,,,,,,10931BA5-E0B5-4558-869C-0D361BE61B18,6bb048d6-133a-4059-bf28-86a00f610767,2016-00-00T00:00:00Z,9,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,5677ff35-b60e-47b2-aba8-5f73c06c3ca1,2022-12-09T00:00:00Z,11,6E840E81-5CEC-42F3-A35C-2DF9F9151F99,Preserving the Blessing of God's Powerful Presence,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,ab97bcbb-dd86-4cb6-bbf8-2c3f6c1bed02,2022-12-09T00:00:00Z,11,DDB43358-C673-4AA9-A70D-798503AFD5AA,Q15816602,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,ae8226c2-99d5-4e8d-ba3f-d58537b63e12,2022-12-09T00:00:00Z,11,81B23F61-99F7-4F0C-9065-791602410BF8,16,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,44b015ed-7ba0-48f0-91cc-2c97a51704dc,2022-12-09T00:00:00Z,11,52F57E86-5E2D-41AC-A1AE-FC885D4410D5,56-69,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,7a8ae8f3-7f75-4ee4-9861-e33428a6b2b9,2022-12-09T00:00:00Z,11,87707323-745C-4751-AE7F-2AD6291E04E6,1,5c24f402bce15202bbea33c9ae4fd10580eac57a,,Q114403967,9a31085f-3300-45ab-a80d-600afc7fed6f,2022-12-09T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
