qid,altLabel,source
Q83451281,Jenni Blackford,wikidata
Q83451281,Jennifer U. Blackford,wikidata
Q83451330,David Sweatt,wikidata
Q83499057,Alexandra A. Sargent,wikidata
Q76388106,Arleen Tuchman,wikidata
Q83505970,Peter Crafts Hodgson,wikidata
Q82622442,Vera M. Kutzinski,wikidata
Q82622374,Valerie R. Hotchkiss,wikidata
Q83422214,Marshall Eakin,wikidata
Q83422214,MC Eakin,wikidata
Q83505927,Daniel E. Joranko,wikidata
Q83505927,Daniel Edwin Joranko,wikidata
Q83505927,Dan Joranko,wikidata
Q83196566,Steven A. Wernke,wikidata
Q61663297,James Patton,wikidata
Q83505844,John McClure,wikidata
Q81911991,David Braun,wikidata
Q62662070,Teruni D Lamberg,wikidata
Q62662070,Teruni Lamberg,wikidata
Q70276685,Joseph A. Smith,wikidata
Q76388106,Arleen Marcia Tuchman,wikidata
Q77516146,Louise Rollins-Smith,wikidata
Q82622442,Vera Kutzinski,wikidata
Q82818492,D. R. Gius,wikidata
Q82818492,David R. Gius,wikidata
Q82818492,DR Gius,wikidata
Q83422394,Sam McSeveney,wikidata
Q83451326,Ram Ramachandran,wikidata
Q63870130,Tyler Perfitt,wikidata
Q64504000,Maria Golson,wikidata
Q77516146,Louise A Rollins-Smith,wikidata
Q77516146,LA Rollins-Smith,wikidata
Q232299,Cohen,wikidata
Q232299,Cohen S,wikidata
Q232299,Cohen S.,wikidata
Q232299,"Cohen, Stanley",wikidata
Q232299,S Cohen,wikidata
Q232299,S. Cohen,wikidata
Q463307,Bjarni Jonsson,wikidata
Q1337955,John Crowe Ransom,wikidata
Q1669642,Robert Mitsuro Miura,wikidata
Q1669642,Robert Miura,wikidata
Q5046585,Carroll Ellis Izard,wikidata
Q5561196,Gilbert S. Merritt,wikidata
Q5561196,Gilbert Stroud Merritt,wikidata
Q6389929,Catania,wikidata
Q6389929,Ken Catania,wikidata
Q6389929,Kenneth Catania,wikidata
Q16211872,Ted Fischer,wikidata
Q16853994,James Merrill Safford,wikidata
Q16902110,Ellen W Clayton,wikidata
Q16902110,Ellen W. Clayton,wikidata
Q16011964,John Pomfret,wikidata
Q6389929,Kenneth C Catania,wikidata
Q5046585,Carroll E Izard,wikidata
Q5046585,C. E. Izard,wikidata
Q16211872,Edward F Fischer,wikidata
Q16011964,John E. Pomfret,wikidata
Q16853994,James Safford,wikidata
Q89504434,S S Gutor,wikidata
Q81931692,Patrick Gentry,wikidata
Q89504434,Sergey Sergeyevich Gutor,wikidata
Q85055316,Victoria Weis,wikidata
Q85622566,Nathan Winn,wikidata
Q85441545,Kathleen Mittendorf,wikidata
Q87032967,Diane Saunders,wikidata
Q61264929,Brian Yaspan,wikidata
Q85849985,Jennifer Dunn,wikidata
Q86738077,Stephen Humble,wikidata
Q85665349,Rebecca Brindley,wikidata
Q80848271,P Ryan Steed,wikidata
Q86507515,Stephen Halliday,wikidata
Q67715030,Benitez JG,wikidata
Q61312590,Mohan Balasubramanian,wikidata
Q67715030,John Benitez,wikidata
Q61085205,Nathaniel Hart,wikidata
Q59222146,Carrie Shaffer,wikidata
Q59699578,Kevin Buell,wikidata
Q60567380,Lori Arlinghaus,wikidata
Q61121806,Geoffrey Holm,wikidata
Q61468706,Roy Jensen,wikidata
Q63374971,Sudheer Pabbisetty,wikidata
Q63870135,Brian Shonesy,wikidata
Q63980566,Raymond Pasek,wikidata
Q41201742,Robert Russell,wikidata
Q43108114,Rachel Bonami,wikidata
Q43108114,Rachel H. Bonami,wikidata
Q37651389,Douglas M. Ruderfer,wikidata
Q37651389,Douglas Ruderfer,wikidata
