qid,label_en,description_en,instance_of_uuid,instance_of,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec
Q111725099,The Routledge Handbook of Religious Naturalism,book,4BB13916-A036-4E7B-A9AE-671339408F4A,Q3331189,1E494F28-BB65-4B9C-B7D9-F98537949E73,10.4324/9781315228907,dd61590154fcb58c7c4693606ee875a77912665d,http://doi.org/10.4324/9781315228907,4d569258-e1ac-4e8d-afc5-7962f65014a7,2022-04-25T00:00:00Z,11,,,,,,,,8A522234-D631-4B4C-9A02-903E342296E0,c8e9328c-2b7a-46aa-9804-412252cd6bdc,2018-02-02T00:00:00Z,11,dd61590154fcb58c7c4693606ee875a77912665d,http://doi.org/10.4324/9781315228907,eea01106-2af8-4ade-9911-4bc5e727742f,2022-04-25T00:00:00Z,11,9973CD31-E763-476C-BB6D-148F6CB5E744,The Routledge Handbook of Religious Naturalism,dd61590154fcb58c7c4693606ee875a77912665d,http://doi.org/10.4324/9781315228907,1a9dfcf6-f9ad-48f6-8f0c-fe6902f18f24,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C315AC88-0109-4C21-AB5F-50831449FE28,9781315228907,dd61590154fcb58c7c4693606ee875a77912665d,http://doi.org/10.4324/9781315228907,e8d0f1c8-b306-4c77-8719-ad2918c8842b,2022-04-25T00:00:00Z,11,EE425A2F-66C8-4E9D-BFEE-547473EBD989,Q1508259,dd61590154fcb58c7c4693606ee875a77912665d,http://doi.org/10.4324/9781315228907,b47a1bcb-4884-42c4-85c3-e370b886c9cb,2022-04-25T00:00:00Z,11
Q111725100,Living Together Jacques Derrida's Communities of Violence and Peace,book,EE2BACEA-6B97-4F91-894C-9E7F57A163E8,Q3331189,29BD80DD-9706-4400-AB98-4429280B6419,10.5422/FORDHAM/9780823249923.001.0001,4fd34b86be565692d638571c06a9eebf69c1e269,http://doi.org/10.5422/FORDHAM/9780823249923.001.0001,7a96f133-75b2-44d2-a35f-e9fb0f1fc040,2022-04-25T00:00:00Z,11,,,,,,,,7BEB3DD6-E5BF-4AB2-A338-36B2627ED28B,ddd49860-cc34-4a44-a8ee-b70e7c8b9382,2013-05-23T00:00:00Z,11,4fd34b86be565692d638571c06a9eebf69c1e269,http://doi.org/10.5422/FORDHAM/9780823249923.001.0001,c857d962-d4e3-47e0-8744-0074c73be025,2022-04-25T00:00:00Z,11,B33710C2-C072-44DD-9BC2-40CCB39E5C4A,Living Together Jacques Derrida's Communities of Violence and Peace,4fd34b86be565692d638571c06a9eebf69c1e269,http://doi.org/10.5422/FORDHAM/9780823249923.001.0001,56d0da33-5f89-4e2a-9a1e-3de58885a01e,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4727534E-5B5C-4E37-809E-8FF3C1A1D5A0,9780823249923,4fd34b86be565692d638571c06a9eebf69c1e269,http://doi.org/10.5422/FORDHAM/9780823249923.001.0001,177deef0-eba1-4eab-b9c8-7d0b9512e46f,2022-04-25T00:00:00Z,11,2878C95E-1754-4FD3-B67A-3F573C5A02EB,Q3077116,4fd34b86be565692d638571c06a9eebf69c1e269,http://doi.org/10.5422/FORDHAM/9780823249923.001.0001,42754548-09bc-47b2-bb4f-bf28f210f6cf,2022-04-25T00:00:00Z,11
Q111725101,Planetary Loves,monograph,B5046C45-A193-4FA9-B84C-AE023DA7B1C3,Q193495,E3CDBFFE-F069-47AA-9C1E-0AA86353D46B,10.5422/FSO/9780823233250.001.0001,a2c5f593212dab555b188b807a520b58346062ed,http://doi.org/10.5422/FSO/9780823233250.001.0001,f3c638d7-e4fc-4923-bbf7-30306d882079,2022-04-25T00:00:00Z,11,,,,,,,,E465ECD8-8CCC-4AF3-BA49-4F0129D662A0,093e0179-7867-4994-9951-5feebddaf126,2011-05-11T00:00:00Z,11,a2c5f593212dab555b188b807a520b58346062ed,http://doi.org/10.5422/FSO/9780823233250.001.0001,29638c69-7d9c-4423-abf6-5b30aaa4cef5,2022-04-25T00:00:00Z,11,A43E0B9F-BCF3-4827-B4CD-8177F6988FF7,Planetary Loves,a2c5f593212dab555b188b807a520b58346062ed,http://doi.org/10.5422/FSO/9780823233250.001.0001,34db9f50-9e27-4565-a004-64b54f0ed051,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B5F5F92C-3AD0-4E96-84AA-74766D0CC8DB,9780823233250,a2c5f593212dab555b188b807a520b58346062ed,http://doi.org/10.5422/FSO/9780823233250.001.0001,b1c6e9b5-444f-4c9b-be81-30a06eff368f,2022-04-25T00:00:00Z,11,8399C22F-0069-4F97-A1F9-9483130AD3D4,Q3077116,a2c5f593212dab555b188b807a520b58346062ed,http://doi.org/10.5422/FSO/9780823233250.001.0001,0a194039-3eb0-40f2-9eca-ddd5952e2519,2022-04-25T00:00:00Z,11
Q111725102,Religion in French Feminist Thought Critical Perspectives,book,35ED5BA5-28F7-42A9-B920-B6A2F3297B65,Q3331189,0C4DE18E-B2E7-45FE-92BB-4AFF776428E8,10.4324/9781315010823,9f3fbcf2b563bfb3848b046b1143bca9b8108856,http://doi.org/10.4324/9781315010823,ec0c8a22-2c08-4b16-9b7a-9f6f474a241c,2022-04-25T00:00:00Z,11,,,,,,,,D83B3A7A-F2B4-4CC0-9CB5-4A289DCBEBD5,f79359b4-7571-4a6c-b7ea-99f58caa5f66,2020-04-20T00:00:00Z,11,9f3fbcf2b563bfb3848b046b1143bca9b8108856,http://doi.org/10.4324/9781315010823,b06e7de3-1a93-451f-be9f-c7e17a6c4cf5,2022-04-25T00:00:00Z,11,EA9F0874-C63B-4593-8608-B2E3A9F9122A,Religion in French Feminist Thought Critical Perspectives,9f3fbcf2b563bfb3848b046b1143bca9b8108856,http://doi.org/10.4324/9781315010823,7c113b06-8a1f-4c61-8328-c3d4f2f86ecf,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6CCB796D-2317-4377-8FD6-A8B9F4324BB8,9781315010823,9f3fbcf2b563bfb3848b046b1143bca9b8108856,http://doi.org/10.4324/9781315010823,386b0ca1-3ee8-4475-a826-0542015f532f,2022-04-25T00:00:00Z,11,9C2472E1-8B5B-4E16-BCCF-F3EF364471DD,Q1508259,9f3fbcf2b563bfb3848b046b1143bca9b8108856,http://doi.org/10.4324/9781315010823,92817968-37b4-41b4-a66f-bf92f97869ba,2022-04-25T00:00:00Z,11
Q111725103,Encyclopedia of Psychology and Religion,encyclopedia,799C30E4-E5DC-497A-92A6-60F2E41FB031,Q5292,A45CA525-C737-47B1-BEFC-A72CA429A0A3,10.1007/978-1-4614-6086-2,20029bcb160f4da00594855b9e73959ade153ea9,http://doi.org/10.1007/978-1-4614-6086-2,9ee1ffe8-f01d-47e9-83ea-65ede1a64f90,2022-04-25T00:00:00Z,11,,,,,,,,01EAD62A-6D98-404E-96BD-10EEE150BAE4,ca6bcda6-cd8b-4408-ade2-261941394bbb,2013-12-02T00:00:00Z,11,20029bcb160f4da00594855b9e73959ade153ea9,http://doi.org/10.1007/978-1-4614-6086-2,23260ba8-e9c7-4587-97a0-bcf902645ca4,2022-04-25T00:00:00Z,11,9337655E-BC8F-4EBB-82AD-DA1448AFA71C,Encyclopedia of Psychology and Religion,20029bcb160f4da00594855b9e73959ade153ea9,http://doi.org/10.1007/978-1-4614-6086-2,3438b6b2-00f9-4d1c-918c-0ccb04abfe55,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81E69B3F-95CD-4C8D-9F2A-67C8A4394E68,9781461460855,20029bcb160f4da00594855b9e73959ade153ea9,http://doi.org/10.1007/978-1-4614-6086-2,f913fe69-841c-42ba-9220-0cf6503cb13d,2022-04-25T00:00:00Z,11,E19F22B8-450F-4F2F-85A6-757C855DA448,Q2313945,20029bcb160f4da00594855b9e73959ade153ea9,http://doi.org/10.1007/978-1-4614-6086-2,b4bc44a6-e1fd-4ae6-a248-f4e0c745d9ce,2022-04-25T00:00:00Z,11
Q111725152,Die Verwaltung im Achämenidenreich - Imperiale Muster und Strukturen. Administration in the Achaemenid Empire - Tracing the Imperial Signature Akten,monograph,4AAF8FC6-782F-419E-9501-2FE1E6EBF110,Q193495,82A2BFAF-F8AB-48B7-B801-A8B782BC9EDD,10.2307/J.CTVCKQ4GQ,dbb33f9246273e59483044c8de52cb8f6883fdd9,http://doi.org/10.2307/J.CTVCKQ4GQ,f31b458b-245b-4ca3-9141-651459d93e01,2022-04-25T00:00:00Z,11,,,,,,,,C2AE4DE2-06AB-48EC-96AA-519A77C5A7F1,ffb98439-80c8-44ec-8ac6-fda448756d70,2019-02-23T00:00:00Z,11,dbb33f9246273e59483044c8de52cb8f6883fdd9,http://doi.org/10.2307/J.CTVCKQ4GQ,2808abfd-2a39-4dce-9161-bb95a53c4fa7,2022-04-25T00:00:00Z,11,1C4F4D0B-5856-4D71-8879-136D241F98AA,Administration in the Achaemenid Empire - Tracing the Imperial Signature,dbb33f9246273e59483044c8de52cb8f6883fdd9,http://doi.org/10.2307/J.CTVCKQ4GQ,aada0075-2a3b-481c-9b9f-c2a4f96f46d8,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5E46B460-3397-43FB-A68A-43B9F61F6DA4,9783447196413,dbb33f9246273e59483044c8de52cb8f6883fdd9,http://doi.org/10.2307/J.CTVCKQ4GQ,7038cb33-b6d9-45a0-8dbe-2186303a058f,2022-04-25T00:00:00Z,11,A8CAF7D8-0394-4916-8A11-EB65461374A1,Q2904802,dbb33f9246273e59483044c8de52cb8f6883fdd9,http://doi.org/10.2307/J.CTVCKQ4GQ,65aee4b7-ef8f-4c82-83cd-f5d4fced6b3a,2022-04-25T00:00:00Z,11
Q111725105,The Black Church Studies Reader,book,972ACFA9-1809-4003-817C-DB82778B76BC,Q3331189,D3CF75C2-5AF2-4329-9290-AA2A114A5D47,10.1057/9781137534552,89a4ccad854b2c59374f35c5e87c9b3dc146960f,http://doi.org/10.1057/9781137534552,26c8d9f2-666d-420d-9877-eb808cc92e7f,2022-04-25T00:00:00Z,11,,,,,,,,CFAAF07E-B8C6-4854-807F-7543605504B4,0de0a18d-1fbc-483a-8b83-63105fcab729,2016-05-23T00:00:00Z,11,89a4ccad854b2c59374f35c5e87c9b3dc146960f,http://doi.org/10.1057/9781137534552,083b848a-5dad-48e6-81d0-d59c7461f053,2022-04-25T00:00:00Z,11,51CE8661-5D0D-4AA6-8BCD-59034EC5A53D,The Black Church Studies Reader,89a4ccad854b2c59374f35c5e87c9b3dc146960f,http://doi.org/10.1057/9781137534552,e254410b-82bd-48c2-b11c-dcf0691efbfc,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2723FC1-0834-4529-A375-51B3317BE9EC,9781349574223,89a4ccad854b2c59374f35c5e87c9b3dc146960f,http://doi.org/10.1057/9781137534552,18fe68a0-1fdb-4c9a-8d70-a98d1abafe17,2022-04-25T00:00:00Z,11,22748502-D7A3-4580-BA05-2A638128BE9F,Q1076074,89a4ccad854b2c59374f35c5e87c9b3dc146960f,http://doi.org/10.1057/9781137534552,ac8168f2-6636-4550-8669-92871a71a6b6,2022-04-25T00:00:00Z,11
Q111725106,African American Religious Life and the Story of Nimrod,book,A2032CDF-7AD8-4728-86C3-EBDB36F54D4F,Q3331189,826F7670-DA15-41C6-B316-68AD6B80FA6B,10.1057/9780230610507,e565e0377618f3981d53de842dfc34cb27d8cdac,http://doi.org/10.1057/9780230610507,b69b2504-0b8f-4dc5-a7a3-180225159327,2022-04-25T00:00:00Z,11,,,,,,,,BA957586-B969-4AB4-A409-2C999536641C,fc57e853-8315-4476-9b82-62544ce7d793,2009-10-20T00:00:00Z,11,e565e0377618f3981d53de842dfc34cb27d8cdac,http://doi.org/10.1057/9780230610507,aa7f1cc9-8e6e-416a-98fe-2ce33a382de2,2022-04-25T00:00:00Z,11,7F3A8287-B75B-461D-9F7A-5579B7EE7EB3,African American Religious Life and the Story of Nimrod,e565e0377618f3981d53de842dfc34cb27d8cdac,http://doi.org/10.1057/9780230610507,e4c1f3ce-5d9b-4a8e-ba47-c8d4bcd9fd81,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2AA52AFC-6CCD-47A7-A71E-585E828729A9,9781349530502,e565e0377618f3981d53de842dfc34cb27d8cdac,http://doi.org/10.1057/9780230610507,93d3a041-83cd-4fec-974d-c5af7d697946,2022-04-25T00:00:00Z,11,242DD856-61C4-4A86-A832-47AC7961E802,Q1076074,e565e0377618f3981d53de842dfc34cb27d8cdac,http://doi.org/10.1057/9780230610507,f6bced24-43d7-4831-a505-fb6c8e0e3953,2022-04-25T00:00:00Z,11
Q111725107,The Wiley Blackwell Companion to Practical Theology,book,AF389C6B-6463-4564-BF49-D44F81BF521E,Q3331189,E77ED71D-6631-4590-BEAB-D2628F7CCFFE,10.1002/9781444345742,de1b24cd47f431f9955bb271445c9b3e9e8d0a7b,http://doi.org/10.1002/9781444345742,7c537949-842d-4ceb-a977-f458803558c7,2022-04-25T00:00:00Z,11,,,,,,,,6919E416-DC28-44F6-AE07-145243583105,5f5f5d34-6c8d-46ce-bef1-624f53320bb2,2011-11-22T00:00:00Z,11,de1b24cd47f431f9955bb271445c9b3e9e8d0a7b,http://doi.org/10.1002/9781444345742,bcc23ff7-8129-46e2-9827-ef3801029313,2022-04-25T00:00:00Z,11,49CD1913-4893-4019-BDC2-C9A7B01A8FE3,The Wiley Blackwell Companion to Practical Theology,de1b24cd47f431f9955bb271445c9b3e9e8d0a7b,http://doi.org/10.1002/9781444345742,ebe7fe0f-b1e9-4bc4-a9a8-5d7eb48e57a3,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED629AC5-C1C5-461D-86C7-2885CDCF2CF5,9781444330823,de1b24cd47f431f9955bb271445c9b3e9e8d0a7b,http://doi.org/10.1002/9781444345742,5639e1b5-b080-4564-8f20-cca52e8d0eee,2022-04-25T00:00:00Z,11,4E4BA96A-017F-4A42-89BB-1F09F9E6C761,Q1479654,de1b24cd47f431f9955bb271445c9b3e9e8d0a7b,http://doi.org/10.1002/9781444345742,2f0ebb44-ba52-4eba-ac98-834b09e0cd1a,2022-04-25T00:00:00Z,11
Q111725108,Contesting Post-Racialism Conflicted Churches in the United States and South Africa,book,E93B325E-4A04-4209-9D07-7CA6F560ED8A,Q3331189,7C85CC8B-322D-4596-B0B3-BE9122F31609,10.14325/MISSISSIPPI/9781628462005.001.0001,7a199e94879bb2d320bcc0d468aae4db01e9d0f8,http://doi.org/10.14325/MISSISSIPPI/9781628462005.001.0001,a9b9ea20-f0b6-4d6d-a879-614df9d4cd0c,2022-04-25T00:00:00Z,11,,,,,,,,6BA068ED-637B-43C0-816A-C80562AF9779,6982782b-235e-4240-8f83-2635e84005d6,2016-05-23T00:00:00Z,11,7a199e94879bb2d320bcc0d468aae4db01e9d0f8,http://doi.org/10.14325/MISSISSIPPI/9781628462005.001.0001,1d0d703d-fe82-4da6-80a7-efc057c73d84,2022-04-25T00:00:00Z,11,6781FD74-9EE8-49D7-9BA7-CE1A5052A94B,Contesting Post-Racialism Conflicted Churches in the United States and South Africa,7a199e94879bb2d320bcc0d468aae4db01e9d0f8,http://doi.org/10.14325/MISSISSIPPI/9781628462005.001.0001,ebcf7d62-e716-4a95-b2e1-98d5fcf28a22,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59085E81-617F-4CA4-8382-12B814786371,9781628462005,7a199e94879bb2d320bcc0d468aae4db01e9d0f8,http://doi.org/10.14325/MISSISSIPPI/9781628462005.001.0001,d5df9688-c39d-49e4-8cdc-2d723046e491,2022-04-25T00:00:00Z,11,19B1DE14-0B00-449B-81BB-61FFB41B51BF,Q7894895,7a199e94879bb2d320bcc0d468aae4db01e9d0f8,http://doi.org/10.14325/MISSISSIPPI/9781628462005.001.0001,e7467909-38b6-4948-a560-647654414250,2022-04-25T00:00:00Z,11
Q111725110,The Business Turn in American Religious History,book,44276D23-18C9-484A-9732-BF9173E9635D,Q3331189,9FE64F5E-F350-43AB-A610-41AFD094AD26,10.1093/OSO/9780190280192.001.0001,61b25a7da8c63204454bd1481403677bafd4cf6f,http://doi.org/10.1093/OSO/9780190280192.001.0001,ff08c994-2058-41aa-a571-3a2c5c927842,2022-04-25T00:00:00Z,11,,,,,,,,0A2474DD-932D-4B05-BADC-2D31FBB67474,18083215-6434-4197-beb2-3c4b484515d1,2017-08-22T00:00:00Z,11,61b25a7da8c63204454bd1481403677bafd4cf6f,http://doi.org/10.1093/OSO/9780190280192.001.0001,f4b3cf02-fdd7-4c8f-89d3-e40f1ef717c0,2022-04-25T00:00:00Z,11,33F87C03-A384-4787-8349-A21F699BF369,The Business Turn in American Religious History,61b25a7da8c63204454bd1481403677bafd4cf6f,http://doi.org/10.1093/OSO/9780190280192.001.0001,15eaffd5-dad1-4bac-8b62-00f0500ab111,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE9D0864-C103-4A20-8D90-03938D6A97CE,9780190280192,61b25a7da8c63204454bd1481403677bafd4cf6f,http://doi.org/10.1093/OSO/9780190280192.001.0001,48052e85-0881-4295-88f8-fc8c52c31a1a,2022-04-25T00:00:00Z,11,C20D8C21-2FD5-4FFE-BC53-6179F4FD5033,Q217595,61b25a7da8c63204454bd1481403677bafd4cf6f,http://doi.org/10.1093/OSO/9780190280192.001.0001,1dc7e815-6491-4075-aebb-419cd51dd711,2022-04-25T00:00:00Z,11
Q111725111,The Blackwell Companion to Religion in America,book,DF09E70B-0369-4158-8B5B-92555717C400,Q3331189,98036638-6D0E-48C3-B64C-010D17380825,10.1002/9781444324082,50f6cef3a7adbb5246f0706c62cdd019c9b92476,http://doi.org/10.1002/9781444324082,eca9ead9-5bb6-4a0e-abe0-6903c1fc34fb,2022-04-25T00:00:00Z,11,,,,,,,,D48B16DD-E1B6-4372-AD03-F23DE53BFE46,588b36bd-411c-4f92-9bd2-e491471850d0,2010-11-12T00:00:00Z,11,50f6cef3a7adbb5246f0706c62cdd019c9b92476,http://doi.org/10.1002/9781444324082,41a2e8e2-342c-4c5c-90c4-9bb5addd9618,2022-04-25T00:00:00Z,11,B7C7E80B-3DB4-4489-AE09-480FA7D2728A,The Blackwell Companion to Religion in America,50f6cef3a7adbb5246f0706c62cdd019c9b92476,http://doi.org/10.1002/9781444324082,bfa75626-8960-4771-9460-2d435b636e4e,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7C261A71-77D3-43E6-B37B-2EBD2AB6CEFB,9781405169363,50f6cef3a7adbb5246f0706c62cdd019c9b92476,http://doi.org/10.1002/9781444324082,7b725bb4-7852-4676-9168-1dcf00cc47f5,2022-04-25T00:00:00Z,11,234091B9-AD0A-4778-AD9E-000747B0151D,Q1479654,50f6cef3a7adbb5246f0706c62cdd019c9b92476,http://doi.org/10.1002/9781444324082,e84a037f-df5d-48d2-a490-166a46ff5c40,2022-04-25T00:00:00Z,11
Q111725113,The Cambridge History of Religions in America,book,BF28631F-71E6-4A55-A3C0-AB596DD6B285,Q3331189,E20F2B72-C990-4DCF-9286-D8E50BA9C06D,10.1017/CHOL9780521871082,7be7aa76a62cfc2e533fd39cc0e39aee46692eab,http://doi.org/10.1017/CHOL9780521871082,3cf7cb68-f8f0-4fe7-b597-66a96a900289,2022-04-25T00:00:00Z,11,,,,,,,,080634BB-D4C1-4F3E-BA1E-6E4E01BCE83B,6543aaac-0d14-4328-9263-4e4d2626b11e,2012-07-31T00:00:00Z,11,7be7aa76a62cfc2e533fd39cc0e39aee46692eab,http://doi.org/10.1017/CHOL9780521871082,0111f4a3-3b0c-454c-b30c-1fe76eac16a3,2022-04-25T00:00:00Z,11,35A99DE5-E203-4C44-BC1A-FC89A7A57435,The Cambridge History of Religions in America,7be7aa76a62cfc2e533fd39cc0e39aee46692eab,http://doi.org/10.1017/CHOL9780521871082,b178a826-66d8-4870-b4c7-4abea3ee50de,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8C4F9E44-6773-4202-97DD-689317A753B0,9781139195416,7be7aa76a62cfc2e533fd39cc0e39aee46692eab,http://doi.org/10.1017/CHOL9780521871082,a2f1ae5d-230d-4c85-9ce2-c1fa4a9bf988,2022-04-25T00:00:00Z,11,29CD4411-F2D4-479E-B4E4-0D29AD3B71BE,Q912887,7be7aa76a62cfc2e533fd39cc0e39aee46692eab,http://doi.org/10.1017/CHOL9780521871082,afeb4b65-fbf7-4b66-b28b-1917a5519211,2022-04-25T00:00:00Z,11
Q111725115,"The Spirit, the Affections, and the Christian Tradition",monograph,3C20B5CA-E847-4D59-9DFD-9536C84AE664,Q193495,8EC31C02-5384-42EC-BBA2-08051C7BFB1C,10.2307/J.CTVPJ7BGB,05fa1b0497c44673ba08dfce1131b04463ff3d3c,http://doi.org/10.2307/J.CTVPJ7BGB,c846b6d5-83c6-4621-bc7b-7a3b300c4c41,2022-04-25T00:00:00Z,11,,,,,,,,BFB29722-E095-4B96-B9CD-EA50E941DC32,da2d1893-8138-416b-99e9-276f5c8d7b94,2019-09-19T00:00:00Z,11,05fa1b0497c44673ba08dfce1131b04463ff3d3c,http://doi.org/10.2307/J.CTVPJ7BGB,f925dbf7-caee-4799-bfc5-5a24feff0a1d,2022-04-25T00:00:00Z,11,16E90C5D-A01E-40FA-BF87-4DC84A2B4D67,"The Spirit, the Affections, and the Christian Tradition",05fa1b0497c44673ba08dfce1131b04463ff3d3c,http://doi.org/10.2307/J.CTVPJ7BGB,4527b148-5cc8-4e26-901c-9d74337024bb,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5C8D9D1C-BC30-4618-A4F1-5C309AF0C736,9780268100063,05fa1b0497c44673ba08dfce1131b04463ff3d3c,http://doi.org/10.2307/J.CTVPJ7BGB,dbe81a0e-d47a-4f13-8db6-fed670f21e27,2022-04-25T00:00:00Z,11,A452235A-EACC-4C91-8A81-5ABE3C105421,Q3551356,05fa1b0497c44673ba08dfce1131b04463ff3d3c,http://doi.org/10.2307/J.CTVPJ7BGB,aede3b27-c6ff-4773-a482-5f942580b6d7,2022-04-25T00:00:00Z,11
Q111725116,The Oxford Handbook of Reformed Theology,book,57855FD1-B4C2-4F2B-A7F6-D25A1C527287,Q3331189,AAB98D09-82B2-4A73-8EB7-F41509F3BF0D,10.1093/OXFORDHB/9780198723912.001.0001,d58ad22ddbabed2609615cabe1e0e901fe67bf1c,http://doi.org/10.1093/OXFORDHB/9780198723912.001.0001,2eef9c04-3b1b-49ac-9aba-890185543403,2022-04-25T00:00:00Z,11,,,,,,,,CDE96DCE-D311-4A83-BC99-A63E2827BFDB,dc7028e3-aae4-4164-be2a-63495d6f4571,2020-10-08T00:00:00Z,11,d58ad22ddbabed2609615cabe1e0e901fe67bf1c,http://doi.org/10.1093/OXFORDHB/9780198723912.001.0001,0b597a45-b7cd-4a99-a9e2-f4da85922ac0,2022-04-25T00:00:00Z,11,7C1E5C39-F927-472E-BC22-3AD51FD6ABB0,The Oxford Handbook of Reformed Theology,d58ad22ddbabed2609615cabe1e0e901fe67bf1c,http://doi.org/10.1093/OXFORDHB/9780198723912.001.0001,76ecacc8-8f2c-4223-b996-f86364b1d69f,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC14D44E-7F99-4562-9866-48BB812CD8D9,9780198723912,d58ad22ddbabed2609615cabe1e0e901fe67bf1c,http://doi.org/10.1093/OXFORDHB/9780198723912.001.0001,8d9dbc2a-e549-4614-bd7e-213246e54b2d,2022-04-25T00:00:00Z,11,8DE3FE1C-156F-4E4A-9E2C-471446498CDE,Q217595,d58ad22ddbabed2609615cabe1e0e901fe67bf1c,http://doi.org/10.1093/OXFORDHB/9780198723912.001.0001,2d751572-1650-489b-847e-d229705759e3,2022-04-25T00:00:00Z,11
Q111725117,God in the Enlightenment,book,677CFFD5-8A64-41D0-A84F-8F888BEF6EE8,Q3331189,24F0787F-AA14-4BA6-8E1D-C7026E60CDD8,10.1093/ACPROF:OSO/9780190267070.001.0001,3770dac24d1dc993eeb2a2fdd17b20f384cd25c8,http://doi.org/10.1093/ACPROF:OSO/9780190267070.001.0001,01630dd9-f8dc-4c91-8cbf-adac8b9d5b30,2022-04-25T00:00:00Z,11,,,,,,,,F9A2FF8F-16A4-409D-BB88-21CF78A3A3F6,448102bc-7e11-410e-9948-cc83ebe00aa9,2016-07-26T00:00:00Z,11,3770dac24d1dc993eeb2a2fdd17b20f384cd25c8,http://doi.org/10.1093/ACPROF:OSO/9780190267070.001.0001,50368260-bed2-48c4-b6c1-5571db1327d7,2022-04-25T00:00:00Z,11,7126BCFE-F55A-4046-868E-6807764C8CC1,God in the Enlightenment,3770dac24d1dc993eeb2a2fdd17b20f384cd25c8,http://doi.org/10.1093/ACPROF:OSO/9780190267070.001.0001,454d81f6-4224-4ff9-ab05-7b20e370fe14,2022-04-25T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC377DB7-9DB7-4A13-B326-81E34BA32611,9780190267070,3770dac24d1dc993eeb2a2fdd17b20f384cd25c8,http://doi.org/10.1093/ACPROF:OSO/9780190267070.001.0001,67e3cc01-73bc-47c6-b209-92f94ba485e4,2022-04-25T00:00:00Z,11,36E760AC-3FEA-435F-B212-1D8A7C2D5322,Q217595,3770dac24d1dc993eeb2a2fdd17b20f384cd25c8,http://doi.org/10.1093/ACPROF:OSO/9780190267070.001.0001,5f1d45d0-556d-485c-8513-ccffcf10316b,2022-04-25T00:00:00Z,11
