qid,label_en,description_en,image_uuid,image,image_ref1_hash,image_ref1_statedIn,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,country_uuid,country,country_ref1_hash,country_ref1_statedIn,country_ref1_referenceUrl,country_ref1_retrieved_nodeId,country_ref1_retrieved_val,country_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_statedIn,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,title_subtitle,owned_by_uuid,owned_by,owned_by_ref1_hash,owned_by_ref1_statedIn,owned_by_ref1_referenceUrl,owned_by_ref1_retrieved_nodeId,owned_by_ref1_retrieved_val,owned_by_ref1_retrieved_prec,owned_by_start_time_nodeId,owned_by_start_time_val,owned_by_start_time_prec,owned_by_end_time_nodeId,owned_by_end_time_val,owned_by_end_time_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_ref1_hash,inception_ref1_statedIn,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_sourcing_circumstances,height_uuid,height_nodeId,height_val,height_unit,height_ref1_hash,height_ref1_statedIn,height_ref1_referenceUrl,height_ref1_retrieved_nodeId,height_ref1_retrieved_val,height_ref1_retrieved_prec,width_uuid,width_nodeId,width_val,width_unit,width_ref1_hash,width_ref1_statedIn,width_ref1_referenceUrl,width_ref1_retrieved_nodeId,width_ref1_retrieved_val,width_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_statedIn,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_ref1_hash,copyright_status_ref1_statedIn,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,thickness_uuid,thickness_nodeId,thickness_val,thickness_unit,thickness_ref1_hash,thickness_ref1_statedIn,thickness_ref1_referenceUrl,thickness_ref1_retrieved_nodeId,thickness_ref1_retrieved_val,thickness_ref1_retrieved_prec,culture_uuid,culture,culture_ref1_hash,culture_ref1_statedIn,culture_ref1_referenceUrl,culture_ref1_retrieved_nodeId,culture_ref1_retrieved_val,culture_ref1_retrieved_prec
Q80566046,Madonna and Child with Apollonia and Another Female Saint,painting by Girolamo Giovenone,CB434F98-E696-4046-8EDE-2B55E3995E1A,http://commons.wikimedia.org/wiki/Special:FilePath/Gerolamo%20Giovenone%20-%20Madonna%20and%20Child%20with%20Saint%20Apollonia%20and%20one%20other%20saint.jpg,,,,,,,,,,,,,,,f546e95b-41ed-ee2b-9c2e-8ffc64a4ea73,Q3104278,,,,,,,,,,,,,,,,51AFCFB2-8D15-421D-A374-0077789331D5,Q14945481,,,,,,,,,,,,,E96BDE89-67F0-4A5B-AABA-9B2D9D84B17A,06346cf1603d99b7d48443a5cf931d04,1530-01-01T00:00:00Z,9,,,,,,,,,,,,,,C3479869-73B3-4147-81A5-EB878026C033,486c789ee68f0186977421d715798d87,51.25,Q218593,b113c41e47fc3426c8bc9bad706985043b5f85ea,,https://library-artstor-org.proxy.library.vanderbilt.edu/asset/26754871,deaf24e088b13b4d7b839515815ef101,2020-11-10T00:00:00Z,11,BBAF8E0E-2FA5-4E8A-A00C-47FC5C1817B2,69a2d843cb0a52dca6668aad5937bc76,28,Q218593,b113c41e47fc3426c8bc9bad706985043b5f85ea,,https://library-artstor-org.proxy.library.vanderbilt.edu/asset/26754871,deaf24e088b13b4d7b839515815ef101,2020-11-10T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q90716090,Emily Thorn Vanderbilt Sloane,painting by Benjamin Curtis Porter,13DB0152-CFC3-4C82-B66E-C0FCB6832204,http://commons.wikimedia.org/wiki/Special:FilePath/Emily%20Thorn%20Vanderbilt%20Sloane%20White.jpg,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,,,,,,,,,85D74003-F401-4CBD-8393-6A790FCC9879,Q4888453,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,0CCEDFA2-8126-4FA7-8542-8166EF0D8528,a88a154971f37cf79ed7457481134197,1888-01-01T00:00:00Z,9,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,,,,,,,,16D60483-8286-42FB-9528-A092ED9BBDEE,b8f533442480f178b216eb3a29a2f2f4,74,Q218593,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,801DA3F1-7067-481B-B5DF-1719A6CF80CB,dae484472d27b30a6895c945ac970a5f,47,Q218593,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94002062,Marine Landscape,oil painting,d0bae5d9-4011-e68c-c72d-adc551cbbff6,http://commons.wikimedia.org/wiki/Special:FilePath/Paul-Jean%20Clays%20-%20Paysage%20marin.jpg,,,,,,,,,,,,,,,e6063df3-43d5-efb5-ecbc-443f6c3b2623,Q2959082,,,,,,,475e7421-4aec-63bf-4b67-fba5d893ac4b,Marine Landscape,,,,,,,,,,,,,,,,,,,,,,D06030D7-267D-42AF-880B-599E760EA63B,19e910ea900e9f417fc7510aa548f8b8,1850-01-01T00:00:00Z,7,,,,,,,,,,,,,,8d47edf9-43f1-4482-2ed7-ffbed2d9cc33,c4788d7b7a1bbda27f1d678b2dd65358,20.2,Q218593,,,,,,,5d072a1d-45f6-3526-0ab4-c21de6807f94,226a78c5310d68c16de9991618a7f754,17,Q218593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94440586,Portrait of a Gentleman,Painting by Michiel van Musscher,,,,,,,,,,,,,,,,,d417916f-457b-a68a-ca71-5b752e283daf,Q185495,,,,,,,410124b4-45a2-25ff-5434-09f311e0b3a3,Portrait of a Gentleman,,,,,,,,,,,,,,,,,,,,,,6d10e003-404c-4ce2-57ae-15a7b49d00ee,abeb23780e013a038ac342b314972da1,1689-01-01T00:00:00Z,9,,,,,,,,,,,,,,28c7c92d-4420-32c7-7fcf-220f8c27436e,51d98d0d7107a270bdb64279b3218f86,22.25,Q218593,,,,,,,8847ea8b-400b-4f43-a6f1-ebff3f6c1b7d,b3d0c2c11bd23ffebd4d2b8b9577da5e,19.5,Q218593,,,,,,,,,,,,,,,86e5a65f-491e-616c-1c08-b5ce409ca983,Q19652,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94543371,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",Stained Glass by Anonymous,,,,,,,,,7b4c682c-498a-c51c-d868-f4a3ec08d20d,Q157070,,,,,,,beeafc55-47d8-fe4d-abd4-95678dd75f95,Q4233718,,,,,,,42f91fea-4766-4b49-0ebb-cfebeb619843,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date",,,,,,,,,,,,,,,,,,,,,,b5e60ca8-42a3-8f84-7dc7-99338f245127,7339bad773afdb83fb9023d276846b08,1500-01-01T00:00:00Z,9,,,,,,,,,,,,,,28f20925-43a5-73dc-e1c2-2f28422f1876,a81a0d0df44bd20752b69d67d2ad15e7,9.5,Q218593,,,,,,,9ceb39c6-4c81-fb29-6723-dbd5303ca4b2,a81a0d0df44bd20752b69d67d2ad15e7,9.5,Q218593,,,,,,,,,,,,,,,22dab213-43ec-0894-4ea5-4da971ccc8cb,Q19652,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94544652,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",Painting by Jacopo di Paolo,,,,,,,,,6ecb3bee-4c41-3db7-7512-3d77d39db287,Q38,,,,,,,285c35d8-40cf-17c0-18df-f0553f9e1179,Q3805978,,,,,,,a4ade4db-48c2-9d7d-a828-99828aa691e0,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint",,,,,,,,,,,,,,,,,,,,,,a403a0c0-46c8-0b6a-51bb-bfd4c862711f,c586778917718b23aa6c4c78def116f4,1400-01-01T00:00:00Z,9,,,,,,,,,,,,,,6e6074f2-4b17-fe5b-63f9-79ccae9e21a3,b09d3cd87a1e6696602e0022327d5734,21.5,Q218593,,,,,,,76dc549f-4293-dd2b-9744-49d8bde9e8d5,08d78c689873e8ae232b3e91749d059f,12.25,Q218593,,,,,,,,,,,,,,,0e8a7e3e-4c7b-f7ff-6018-50ba50c67763,Q19652,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94549679,Crucifixion of St. Andrew,painting by the school of Rubens,,,,,,,,,,,,,,,,,11ba3f84-4874-e4d0-8ce1-78735c6233c6,Q2251074,,,,,,,348fcb5b-414e-664d-9dba-2f1bba3f6108,Crucifixion of St. Andrew,,,,,,,,,,,,,,,,,,,,,,8786c44f-49ef-d809-ee2e-d1f511cb0aa9,5d985820b54bd879f063440ff194142c,1700-01-01T00:00:00Z,7,,,,,,,990fee0e543b0bf1c07d7d0657275b28,1650-01-01T00:00:00Z,9,e1ac8f781b5bcb24f893df59e8b07a9f,1600-01-01T00:00:00Z,9,,ed6aa207-4dba-498f-f022-91781d70f0a9,fd9f75432299ed95cc0ac75f4922ee7d,29.75,Q218593,,,,,,,d5ef9ea1-4b9f-27b6-3d7d-e82f2991bdca,1e4162c705450a947b7f833bdf0a8515,38.25,Q218593,,,,,,,8a4dada9-49d5-59e8-99a8-d0c4e100a465,Q157070,,,,,,,be3c01b6-4c4d-a8e2-5924-7045f1fc96a8,Q19652,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94553168,Bishop or Saint,Sculpture by Anonymous,,,,,,,,,0b4c9dbd-47ae-e001-f919-0ec20727f43f,Q70972,,,,,,,db2b6ba0-498c-9c2b-5dcc-7d4bd719a9ab,Q4233718,,,,,,,11bdc6d1-4158-8365-b61a-3fe0632109b4,Bishop or Saint,,,,,,,,,,,,,,,,,,,,,,4362c382-4a7f-ffed-b5f0-ac811263e2c0,f7b48282e40c87f22cd332f22649c4ab,1400-01-01T00:00:00Z,7,,,,,,,d8996936711540e3ffdcb23b14586fbb,1350-01-01T00:00:00Z,9,1bd07b794ac9e1801834f9b365c6a333,1300-01-01T00:00:00Z,9,,37c04697-4008-53df-3232-1bef06b01679,7608ad2a86b1a608b8fa2ceeb0dee5f7,56.5,Q218593,,,,,,,e2afdca1-41c0-554c-781f-4c59b94d26cb,d9125151b48c802f74f8fbf0b4250770,16,Q218593,,,,,,,,,,,,,,,10e38bd5-4f24-6de0-3146-1af1110933f9,Q19652,,,,,,,,,66625271-4653-7605-10f5-f5d789319175,7b49baca2eff1ab785f5cadcf4ed688c,11,Q218593,,,,,,,,,,,,,,
Q94696481,Madonna and Child with St. Anne,Painting by Goswijn van der Weyden,,,,,,,,,7a394f5b-4cdf-c506-fad0-9e02160338dd,Q6581823,,,,,,,9625ff6d-4b35-0df4-8bbe-f9982e6bbc15,Q1537756,,,,,,,e1cbc72c-43c7-14c2-61c7-baf9984a3f91,Madonna and Child with St. Anne,,,,,,,,,,,,,,,,,,,,,,e96d3485-4ece-20c8-22f1-93484af5538c,759017485cd190e7d88754a219613547,1500-01-01T00:00:00Z,7,,,,,,,59844fe2fce06440b07fb61e6f75527f,1600-01-01T00:00:00Z,7,,,,,98560de5-45ba-e69b-595d-9a2f878d30fc,e320ef34e954db10415afc39f29303b2,19,Q218593,,,,,,,eb0fd898-4487-083b-c669-a1fb1f2ebc27,1c4890e64480a1b1597e5bec849d2621,12.75,Q218593,,,,,,,,,,,,,,,bec62148-4944-4ff3-d026-3002e3f92515,Q19652,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94696574,Madonna with Three Saints and John,Painting by Bonifazio de Pitati,,,,,,,,,7457de4d-40c1-8668-1fe6-2f800fc0afd7,Q4948,,,,,,,9fd6d96d-49fc-f1f5-a839-fd430fe291d8,Q744747,,,,,,,f4cb64e4-4150-74ae-9060-38a768a4be3d,Madonna with Three Saints and John,,,,,,,,,,,,,,,,,,,,,,ed86e34b-411e-0bff-368d-f84575eab53d,eab843210563f36bdd1dbab9be4d2258,1530-01-01T00:00:00Z,9,,,,,,,,,,,,,,8081c250-40d1-e201-835a-3982fd189640,880a426b5b5a5a22fd97fb5714821f51,25.5,Q218593,,,,,,,bbc7fcc4-4ab3-e4d3-d2a4-aadae6dad113,581489279416ffcf29d89653450fee52,34,Q218593,,,,,,,,,,,,,,,04ed9d96-43f4-0911-d10c-745159a69795,Q19652,,,,,,,,,,,,,,,,,,,,,,,,,,
