qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
Q112181579,Agape Meal,fresco in catacombs by artist unknown,6348D174-EAFA-4534-BE2C-6225C67CBBAA,49629,516ed13243d092beac4cce2fe22292dc3c4a51b0,741f979d-1990-4314-9abd-aa750b66e934,2022-04-04T00:00:00Z,11,,,,,,,,,48205892-4453-4F31-A7DB-F340812A8B75,Agape Meal,ab54b665906b0a5e4e0fa3d39bf06a6d0a1b955b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49629,db0be087-c687-49be-ac3c-2bc07c3177e7,2022-04-04T00:00:00Z,11,31B5668C-F43D-4DCD-92A0-027CE92CB78B,_:2dc5e98b-245f-4793-a7a4-5527a43299a0,Q4233718,0dcbdd025bee71ebcbacd62ea1131d72dcd81def,https://commons.wikimedia.org/wiki/File:Agape_feast_03.jpg,cd948d8d-d7f4-4fbb-8b3a-bd56aed08259,2022-04-04T00:00:00Z,11,B695FC7A-B848-4D18-9BF8-F0792350DA36,Q22669139,ab54b665906b0a5e4e0fa3d39bf06a6d0a1b955b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49629,19e7bbb0-fd95-4af7-8827-75cdcccd727f,2022-04-04T00:00:00Z,11,5996BE7A-6368-4589-AB02-1124C998EA7F,dfbc69f1-7a46-4bad-85d0-cbc00d1fe0ad,0350-01-01T00:00:00Z,7,,,,,,,,ab54b665906b0a5e4e0fa3d39bf06a6d0a1b955b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49629,2897acba-dc89-4941-91cc-7c354d954645,2022-04-04T00:00:00Z,11,0E976DB0-986C-402A-AFDD-C64C4EB490F1,Q38,ab54b665906b0a5e4e0fa3d39bf06a6d0a1b955b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49629,b6e737bb-71ec-406b-bf43-149058362687,2022-04-04T00:00:00Z,11,E3534154-8432-4A18-BDC6-A0B9DD54B0F9,Q19652,,,ab54b665906b0a5e4e0fa3d39bf06a6d0a1b955b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49629,cd55a8a9-6859-4f1c-8517-02c5c902e489,2022-04-04T00:00:00Z,11,125EFBA3-DD9C-45F4-8133-F9091147DFFC,http://commons.wikimedia.org/wiki/Special:FilePath/Agape%20feast%2003.jpg,ab54b665906b0a5e4e0fa3d39bf06a6d0a1b955b,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49629,8247f113-4fb9-4cec-8cc1-f401c8c93daf,2022-04-04T00:00:00Z,11,,,,,,,
Q112181467,Altar of the Mystical Lamb - Prophet Zechariah,painting by Hubert van Eyck,9C5FBBD7-4AEE-44FB-960B-BCECB6907709,49622,516ed13243d092beac4cce2fe22292dc3c4a51b0,6bc3a2ee-e851-4abe-bb41-fcb050295ab2,2022-04-04T00:00:00Z,11,,,,,,,,,6F0515BD-D641-4428-ABE1-B12A1C59CA8A,Altar of the Mystical Lamb - Prophet Zechariah,70e36540ac2f51943b0ad0b9faa1b7d51b575913,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49622,7727d4aa-65e8-4ce3-8359-79b222cb3e56,2022-04-04T00:00:00Z,11,C765C295-1329-4953-A6D0-06A5850CFD22,Q364350,,70e36540ac2f51943b0ad0b9faa1b7d51b575913,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49622,b1015e87-7ac6-4a6e-9f03-f0933d1c71bb,2022-04-04T00:00:00Z,11,76C5B032-896F-4CC1-B107-0A4363B77FD6,Q3305213,27e6ed03b1cc2ddc736da3255acc07a5c32e6806,https://commons.wikimedia.org/wiki/File:Hubert_van_Eyck_008.jpg,b8b43a46-ce86-433a-91c4-5a6e0d472b9e,2022-04-04T00:00:00Z,11,D764D83A-48D7-49AD-ADC2-4A57DA2F65BD,11c8b4f6-fe62-4c45-803a-58d95123deef,1429-01-01T00:00:00Z,9,,,,,,,,70e36540ac2f51943b0ad0b9faa1b7d51b575913,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49622,868ce83e-297c-4991-9ce1-a9e1622bb1b4,2022-04-04T00:00:00Z,11,5C189FF5-1A82-47DE-9E73-BF8B305174A1,Q31,70e36540ac2f51943b0ad0b9faa1b7d51b575913,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49622,67a1478e-43c3-4940-aaaa-8fe99c3e55c5,2022-04-04T00:00:00Z,11,9944E3CF-ECE1-4C12-8982-97F86D80D60E,Q19652,,,70e36540ac2f51943b0ad0b9faa1b7d51b575913,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49622,eec3467f-a1c0-480a-85a9-889455da4a3d,2022-04-04T00:00:00Z,11,F9DB43ED-A956-4F66-B6A1-CA419D661F1D,http://commons.wikimedia.org/wiki/Special:FilePath/Hubert%20van%20Eyck%20008.jpg,70e36540ac2f51943b0ad0b9faa1b7d51b575913,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49622,df073a39-5b3e-467c-8bb3-f3ac1195f485,2022-04-04T00:00:00Z,11,,,,,,,
Q112181468,Angel,carving by artist unknown,FCF7E6AB-9A34-42E5-B161-75DA72AB5499,56037,8e12652cfa185834a4698eeacfbc142b4f1db7ce,81b51b8e-b8e2-4af6-a8b8-065d74d42a99,2022-03-30T00:00:00Z,11,8D344A46-5E2A-49EB-87C4-3FCEF181FA1F,OA,Q19675,88338a90d63d5a2732da5134db43d58ef066f488,https://commons.wikimedia.org/wiki/File:Angel_ivory_Louvre_OA5839213922.jpg,58425208-e6e5-4bb2-b439-df048b81c143,2022-03-30T00:00:00Z,11,AB68640B-8400-44CB-9506-90B26387CFD8,Angel,0d74c0afd6d0e9be264cb8ae65f9f4f2b813d8c4,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56037,9d54fde4-be4c-4867-b056-b829a6ae2181,2022-03-30T00:00:00Z,11,E560FFFB-E198-4797-AE61-69E33D4C020C,_:e62a516e-c117-4452-b855-62a33940ce57,Q4233718,,,,,,5788694C-5402-44E2-83C5-BC1549F392BB,Q97570030,0d74c0afd6d0e9be264cb8ae65f9f4f2b813d8c4,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56037,ff5bce0f-2777-4707-a786-3e7cd4ead4b7,2022-03-30T00:00:00Z,11,4B777B49-87FF-4148-8564-DC7123535F28,4441bb5f-d5ff-47fe-a5c9-4b7e3e0ddc26,1255-01-01T00:00:00Z,9,29d33a93-c54b-482f-9718-e24c59a9fec3,1250-01-01T00:00:00Z,9,65bed7d3-eb53-490b-b4cf-46915a565a5e,1260-01-01T00:00:00Z,9,,0d74c0afd6d0e9be264cb8ae65f9f4f2b813d8c4,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56037,a356196c-d1d7-44ce-9c12-adee63b7c091,2022-03-30T00:00:00Z,11,EB002B5C-018B-4A45-8805-7D5E5C0A6AE4,Q142,0d74c0afd6d0e9be264cb8ae65f9f4f2b813d8c4,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56037,62ce0a4d-8c0f-4749-ad66-98c84f2010e3,2022-03-30T00:00:00Z,11,AAA1E982-A726-447C-B824-74C44CCB1176,Q19652,,,88338a90d63d5a2732da5134db43d58ef066f488,https://commons.wikimedia.org/wiki/File:Angel_ivory_Louvre_OA5839213922.jpg,9dc1ccd9-ae18-4fb5-8a62-70439840507f,2022-03-30T00:00:00Z,11,1E516FAC-658E-4F04-B260-C76FB63839F7,http://commons.wikimedia.org/wiki/Special:FilePath/Angel%20ivory%20Louvre%20OA5839213922.jpg,0d74c0afd6d0e9be264cb8ae65f9f4f2b813d8c4,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56037,f9738808-5616-450d-8138-0f2830161c1b,2022-03-30T00:00:00Z,11,E925E687-56BF-433D-86FD-3ACC0F3B7956,Q19675,88338a90d63d5a2732da5134db43d58ef066f488,https://commons.wikimedia.org/wiki/File:Angel_ivory_Louvre_OA5839213922.jpg,d0e8a777-b205-43e0-8df9-f2786c2645d8,2022-03-30T00:00:00Z,11
Q112181470,"Anointing the Feet of Jesus in the House of Simon, the Pharisee","painting by School of the Allgäu (Southern Germany), circa 1470-1480",F22EC39C-B849-4F6B-AC6F-519568473A49,56158,8e12652cfa185834a4698eeacfbc142b4f1db7ce,9458918a-b415-4dcb-a495-12645946fe00,2022-03-30T00:00:00Z,11,,,,,,,,,A7DA1651-6C8C-4F49-9C6F-FCA0CBD546B8,"Anointing the Feet of Jesus in the House of Simon, the Pharisee",fbc883b564bab955b12954110b9975c739d09bc6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56158,b82ecde1-d49a-46bf-b1ed-ba3886fef01f,2022-03-30T00:00:00Z,11,9E161ECF-B017-440D-BD33-3DE8F40302BC,_:b725fd4e-6fb2-417a-b96c-b372991aaf16,Q4233718,,,,,,34E71090-EC52-47FB-A313-9CEAC64F3ED5,Q3305213,fbc883b564bab955b12954110b9975c739d09bc6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56158,b658a766-a3bc-4318-aa92-4c9633f08736,2022-03-30T00:00:00Z,11,8839B4FD-452E-4BB4-A99E-855F0057B5F8,9d60cc52-6f99-4f2c-ac98-8fead5962cf6,1475-01-01T00:00:00Z,9,0d47b45b-ebd2-468a-9a28-c843e9422333,1470-01-01T00:00:00Z,9,49b40def-aa09-43a5-8a06-bd9dff794e18,1480-01-01T00:00:00Z,9,Q5727902,fbc883b564bab955b12954110b9975c739d09bc6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56158,08a6adf0-19fb-4ed1-ad62-b931eb7abc63,2022-03-30T00:00:00Z,11,07DF1D37-927A-4816-930E-7A62A3B09A7C,Q183,fbc883b564bab955b12954110b9975c739d09bc6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56158,674d86ac-d4ac-4210-bdb4-3d90be553aea,2022-03-30T00:00:00Z,11,,,,,,,,,,83E76221-A50D-413D-B774-EC9F211718A7,http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20in%20the%20House%20of%20Simon%201470s.jpg,fbc883b564bab955b12954110b9975c739d09bc6,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56158,7fbfa180-eb2b-4e78-93ee-330f6d27e055,2022-03-30T00:00:00Z,11,,,,,,,
Q112181472,Apuleius advises the use of demons as mediators between mankind and the gods,manuscript by active 1468-1482 Maître François,F6CC5137-6964-40BF-9595-FFA17BDAFBA3,55703,516ed13243d092beac4cce2fe22292dc3c4a51b0,64aae09a-a084-44f2-a7c1-de74e77936a2,2022-04-04T00:00:00Z,11,,,,,,,,,2EF2994A-B0A0-49E4-867D-F7C4EFC537AE,Apuleius advises the use of demons as mediators between mankind and the gods,b060c1bee55909f262be93100f350646705fe292,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55703,c6e03b68-bb88-4c5c-ac1c-9a4609fd437b,2022-04-04T00:00:00Z,11,07B3BF7B-B160-4E8D-8852-CA4F90CE5BB1,Q57351408,,,,,,,D5F723FD-9949-48B5-B8EE-1863DB83D256,Q87167,b060c1bee55909f262be93100f350646705fe292,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55703,7c3cad69-ad04-4b9e-a5e2-c507997ebf76,2022-04-04T00:00:00Z,11,,,,,,,,,,,,,,,,,E4E9A988-00E3-411D-84BF-CF4FA9BDB2DD,Q55,b060c1bee55909f262be93100f350646705fe292,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55703,6b53ddec-a6d2-422c-9a8e-148a011b1db7,2022-04-04T00:00:00Z,11,,,,,,,,,,B2558063-A978-483F-BA77-67E8299FD94E,http://commons.wikimedia.org/wiki/Special:FilePath/Apuleius%20advises%20the%20use%20of%20demons%20as%20mediators%20between%20mankind%20and%20the%20gods.jpg,b060c1bee55909f262be93100f350646705fe292,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55703,800e3589-79bc-4f55-a6c5-6b57d039a7cd,2022-04-04T00:00:00Z,11,,,,,,,
Q112181473,Arrest of Christ,painting by Albrecht Altdorfer,DA078BC6-6BDA-4606-9DB3-3A9A9E6EF4E4,57349,8e12652cfa185834a4698eeacfbc142b4f1db7ce,152d02f2-70ea-4b1e-ad98-d87ad00b7e92,2022-03-30T00:00:00Z,11,,,,,,,,,75D9CE65-244D-4964-A6F0-8DB9A44441B3,Arrest of Christ,2ab4a0c9562365204074ec06cc14795640d076e0,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57349,d85c2368-adc7-4f7c-aaad-6ffa8b7e4186,2022-03-30T00:00:00Z,11,2951D2C4-786C-4655-90C6-B92B8773C176,Q153746,,2ab4a0c9562365204074ec06cc14795640d076e0,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57349,d94cdd98-13c8-4f20-a781-60770e12d54a,2022-03-30T00:00:00Z,11,8B9C09D0-6068-43E5-AACF-CB55722CB063,Q3305213,2ab4a0c9562365204074ec06cc14795640d076e0,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57349,3bb2695d-37c6-4261-8dcc-36365e132727,2022-03-30T00:00:00Z,11,,,,,,,,,,,,,,,,,9AD0B87E-370C-49DC-97C4-1F017526068B,Q40,2ab4a0c9562365204074ec06cc14795640d076e0,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57349,5946883b-d4eb-440d-8ae1-ee4228ce99ac,2022-03-30T00:00:00Z,11,E76E6947-8D76-4858-9845-B216569AFD24,Q19652,Q60332278,Q29940705,,,,,,27BCF974-5122-4E75-9C17-DD053F978608,http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20Altdorfer%20-%20The%20Arrest%20of%20Christ%20-%20WGA00224.jpg,2ab4a0c9562365204074ec06cc14795640d076e0,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57349,9901453c-4d4c-49d8-8b9f-12b34533b147,2022-03-30T00:00:00Z,11,,,,,,,
Q112181475,Augustine baptized by Ambrose,painting by Niccolò di Pietro Gerini,4560F1DB-398B-4CA5-B31E-F455B387AB32,55208,516ed13243d092beac4cce2fe22292dc3c4a51b0,2643ff94-2657-4fd3-8ac4-4b27a66f25cb,2022-04-04T00:00:00Z,11,,,,,,,,,8A251293-E830-4DA3-9F3E-0CBD923CCD08,Augustine baptized by Ambrose,e2d2c9ecb13177594bf41abb8f71e80de99bb260,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55208,32604eef-0d05-45f9-90b1-ddb48a0ce8bf,2022-04-04T00:00:00Z,11,C4BD406A-80EF-4AC6-917B-C60F715BB93D,Q1077403,,e2d2c9ecb13177594bf41abb8f71e80de99bb260,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55208,18da567d-dec9-4a19-a6ab-225345e98c88,2022-04-04T00:00:00Z,11,46888EB4-F55A-4E46-A5FE-7E6DC2BCD1B6,Q3305213,e2d2c9ecb13177594bf41abb8f71e80de99bb260,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55208,db927ff3-6fe8-4ba2-8e11-8a044ee08c0b,2022-04-04T00:00:00Z,11,C58DD2E2-6E46-41C3-A518-461A5994694F,bbe7d37b-ba77-420e-bdc0-0cd377b40e81,1414-01-01T00:00:00Z,9,f39d6220-fad0-4948-8909-bfd6ac441b09,1413-01-01T00:00:00Z,9,d68675b8-3e8a-41cf-8c69-43938a74d5ff,1415-01-01T00:00:00Z,9,,e2d2c9ecb13177594bf41abb8f71e80de99bb260,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55208,f0009f21-84dd-4b1f-8134-dc95cf4db5da,2022-04-04T00:00:00Z,11,,,,,,,,EABA6D31-7A2D-4614-93B4-EA693668B145,Q19652,Q60332278,Q29940705,,,,,,B5323CE8-D256-4193-B9DC-02C061F125E4,http://commons.wikimedia.org/wiki/Special:FilePath/8%20Nicolo%20di%20Pietro%2C1413-15.%20The%20Saint%20Augustine%20Baptized%20by%20Saint%20Ambrose.%20Pinacoteca%2C%20Vatican..jpg,e2d2c9ecb13177594bf41abb8f71e80de99bb260,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55208,5daf0ae4-7af6-4f83-b066-63402ad166cc,2022-04-04T00:00:00Z,11,D29A81A7-6F3F-4E02-B717-A0164C2B5F1B,Q774940,84def1a73756d134e9cd960286aad052c342b752,"https://commons.wikimedia.org/wiki/File:8_Nicolo_di_Pietro,1413-15._The_Saint_Augustine_Baptized_by_Saint_Ambrose._Pinacoteca,_Vatican..jpg",0fcd895d-5f40-4975-b29b-09e120f28006,2022-04-04T00:00:00Z,11
Q112181476,Baptism of Christ,sculpture by Veit Stoss,453D0C98-8B84-40A3-92CF-655F4220DD99,56761,8e12652cfa185834a4698eeacfbc142b4f1db7ce,89fdf732-a6f0-4d6c-a2f5-acdca703a12a,2022-03-30T00:00:00Z,11,,,,,,,,,5B7D25BB-171A-43C7-83A3-113DB388979A,Baptism of Christ,d71341e45ce7aaf6273c2e8cd556ee57da5dbd7c,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56761,aa020f67-4fbc-4328-beb1-c41d5f0a00d9,2022-03-30T00:00:00Z,11,1DF3AFE0-2E71-4B5B-B329-E66F938C59A1,Q163800,,d71341e45ce7aaf6273c2e8cd556ee57da5dbd7c,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56761,4946cdff-16c0-4949-b2ad-c549cdbacc3d,2022-03-30T00:00:00Z,11,537B6F83-CF6F-430A-9B62-714D0834830B,Q860861,d71341e45ce7aaf6273c2e8cd556ee57da5dbd7c,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56761,0fb58e44-787b-4fb0-83bc-4dd384e26c57,2022-03-30T00:00:00Z,11,9A7BBD6B-74C4-46F0-8BD7-04C5B63ACE4D,377b825f-a6e0-4454-997d-d2d3f5ac9dc8,1485-01-01T00:00:00Z,9,a9b5261c-260c-43f7-8502-63538414966d,1480-01-01T00:00:00Z,9,81f4e3a4-566b-4358-9113-c6e6958700bb,1490-01-01T00:00:00Z,9,Q5727902,d71341e45ce7aaf6273c2e8cd556ee57da5dbd7c,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56761,da38dc67-38c8-4c7f-a42b-c81b07bf42d2,2022-03-30T00:00:00Z,11,0BEA7FAF-2E52-4AE7-9A56-2C2F67CE3200,Q30,d71341e45ce7aaf6273c2e8cd556ee57da5dbd7c,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56761,3b0e25cb-761d-4a1d-ac13-ed45b8677dee,2022-03-30T00:00:00Z,11,627D630B-3497-487F-9C39-78A43B7E0626,Q19652,Q60332278,Q29940705,9aef12e6d009611e82fd90cc6323f3f1769a5d50,https://commons.wikimedia.org/wiki/File:Baptism_of_Christ_MET_DP144433.jpg,d5baacd3-3388-4c5f-99fc-2e2ed1243977,2022-03-30T00:00:00Z,11,E5B3228D-EBD0-4752-ABE5-190641DEE1B7,http://commons.wikimedia.org/wiki/Special:FilePath/Baptism%20of%20Christ%20MET%20DP144433.jpg,d71341e45ce7aaf6273c2e8cd556ee57da5dbd7c,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56761,b47b7fbc-3672-4b78-9a97-7cf23936f53d,2022-03-30T00:00:00Z,11,,,,,,,
Q112181478,Catching Quails,painting by C. C. A. (Carl Christian Anton) Christensen,6180D205-5269-49F0-B588-E95F64DE7689,55967,516ed13243d092beac4cce2fe22292dc3c4a51b0,29a8198f-83c9-4a4a-8824-fd30b0557863,2022-04-04T00:00:00Z,11,,,,,,,,,D8DFFF0C-B1B7-41C0-9F29-16F6F388797A,Catching Quails,78fe7c1c2b500c6968fba6a2956faaa5c8f559ba,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55967,2f98f209-3fb8-4038-a25f-32dabb95eeff,2022-04-04T00:00:00Z,11,F67B52D7-C476-4380-890F-9BC0548BF080,Q2938881,,78fe7c1c2b500c6968fba6a2956faaa5c8f559ba,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55967,6c156818-bfbe-46de-92ce-9d13236771f5,2022-04-04T00:00:00Z,11,8CB9A366-8244-43F3-B617-248907B0D771,Q3305213,78fe7c1c2b500c6968fba6a2956faaa5c8f559ba,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55967,349487a7-2548-43b1-844c-a1e843d5b61d,2022-04-04T00:00:00Z,11,EC9C8BA8-B121-4E89-AF21-0773BE5517DA,10ec3441-1827-463f-9150-e8aa8399af7b,1846-01-01T00:00:00Z,9,,,,,,,Q5727902,78fe7c1c2b500c6968fba6a2956faaa5c8f559ba,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55967,ac6cd8e3-6605-49d9-a467-b279e812e044,2022-04-04T00:00:00Z,11,346AF604-1D4D-4D60-96CC-438E8D8898E1,Q30,78fe7c1c2b500c6968fba6a2956faaa5c8f559ba,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55967,4c18acce-3e3a-4353-93d8-fd2d39fc1ea5,2022-04-04T00:00:00Z,11,61FA9289-B2F9-4602-A29A-E218460610EA,Q19652,Q60332278,Q29940705,d5e37b79b551a425bb321fba9407105498bdebcf,https://commons.wikimedia.org/wiki/File:Catching_Quails_by_C.C.A._Christensen.png,3cf81c27-80c5-4157-9400-30744350aa91,2022-04-04T00:00:00Z,11,2DBD2E91-156F-471B-A025-BE11AC494523,http://commons.wikimedia.org/wiki/Special:FilePath/Catching%20Quails%20by%20C.C.A.%20Christensen.png,78fe7c1c2b500c6968fba6a2956faaa5c8f559ba,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55967,80ea7d99-601f-4a21-a332-883140915e5f,2022-04-04T00:00:00Z,11,,,,,,,
Q112181479,China 1944: A destitute boy with a wicker basket in the Poor People's Refuge in Changsa,photograph by Cecil Beaton,93203FD9-956A-4B17-9937-4B14E808EEA8,55992,516ed13243d092beac4cce2fe22292dc3c4a51b0,80fed526-9d28-4401-af03-980404ade4db,2022-04-04T00:00:00Z,11,,,,,,,,,D602CF24-39E8-403F-B0C4-DA054D632F01,China 1944: A destitute boy with a wicker basket in the Poor People's Refuge in Changsa,6eca23d296dfe295edbf9a92182d67a78480a7a8,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55992,837be573-dfa5-4222-90aa-ba1670259c3c,2022-04-04T00:00:00Z,11,08B60538-C97C-430F-BD12-EFD3C18E0707,Q697096,,6eca23d296dfe295edbf9a92182d67a78480a7a8,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55992,95a13c0f-790f-4729-b0b6-66e66159c828,2022-04-04T00:00:00Z,11,66CA715C-408A-4636-AF1F-4403E9FE4F85,Q125191,6eca23d296dfe295edbf9a92182d67a78480a7a8,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55992,3b258ac2-14a4-400b-8735-f5e2d6028922,2022-04-04T00:00:00Z,11,F71A0B7F-C97F-4FA3-9858-AAC3A065A43F,d514d8b0-db5e-4241-b7c8-2457fe198522,1944-01-01T00:00:00Z,9,,,,,,,,6eca23d296dfe295edbf9a92182d67a78480a7a8,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55992,21566004-be66-455b-940a-1de6cedda39c,2022-04-04T00:00:00Z,11,50CB2EB4-B4F9-45DC-A558-2BFDEFC62961,Q145,6eca23d296dfe295edbf9a92182d67a78480a7a8,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55992,686892fc-764c-4f31-b09d-8745492e4149,2022-04-04T00:00:00Z,11,,,,,,,,,,B4463D63-445E-4F2A-BF27-AD061D8241FC,http://commons.wikimedia.org/wiki/Special:FilePath/Cecil%20Beaton%20Photographs-%20General%20IB4152C.jpg,6eca23d296dfe295edbf9a92182d67a78480a7a8,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55992,a0900a4c-af75-4cd7-b2bc-b4914c39e849,2022-04-04T00:00:00Z,11,,,,,,,
Q112181481,Christ and Nicodemus,drawing by Rembrandt Harmenszoon van Rijn,A375A6C7-290C-46F0-80F8-3645448CA4D8,56267,8e12652cfa185834a4698eeacfbc142b4f1db7ce,ea855a91-3402-420d-9bc1-a97947c84d64,2022-03-30T00:00:00Z,11,,,,,,,,,A790566C-1FB6-453A-8B62-AA0C76414350,Christ and Nicodemus,afd83261117f419f3feb749b67285a086b990cbd,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56267,38a351da-da2e-4a94-b91a-08ba41b4c284,2022-03-30T00:00:00Z,11,B0786490-B87A-49B6-BB40-F00E089A38B9,Q5598,,,,,,,8250E131-2E2C-494C-A87D-40C1DDFA2109,Q93184,afd83261117f419f3feb749b67285a086b990cbd,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56267,fc9220d4-0a3b-47cd-9289-e853fe63a7ca,2022-03-30T00:00:00Z,11,,,,,,,,,,,,,,,,,A64002B3-74F5-4C50-B73E-AE3D985CD5AB,Q55,afd83261117f419f3feb749b67285a086b990cbd,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56267,ecfaa809-84fe-49e7-a9ca-a48e2ebc69e0,2022-03-30T00:00:00Z,11,,,,,,,,,,B2A2D6FB-FA92-420D-B5E2-52D43B0B2519,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20221.jpg,afd83261117f419f3feb749b67285a086b990cbd,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56267,9b30095e-9ae0-4442-9e8d-1c9701f1c492,2022-03-30T00:00:00Z,11,,,,,,,
